adm3_id,year,pre_school,school_age,university_age,working_age,retirement_age,eighty_plus,total
YE110121,2015,4264.945709228516,7122.13623046875,6791.14453125,10073.525268554688,1195.1081008911133,104.15384006500244,29551.01368045807
YE110121,2020,5100.817626953125,8012.8095703125,7342.2188720703125,12520.521209716797,1376.6856307983398,123.76946949958801,34476.82237935066
YE110121,2025,5837.602233886719,9276.600830078125,8203.73046875,14832.724731445312,1652.1806030273438,140.02391695976257,39942.86278414726
YE110121,2030,6118.20068359375,10829.92529296875,9215.7392578125,17388.618591308594,2097.518341064453,163.70624017715454,45813.7084069252
YE110122,2015,817.7052993774414,1364.2352294921875,1298.0082397460938,1920.5106773376465,227.9337215423584,19.827833086252213,5648.22100058198
YE110122,2020,969.9287033081055,1522.2793273925781,1392.1033630371094,2368.921455383301,260.6020803451538,23.390688359737396,6537.225617825985
YE110122,2025,1106.2009353637695,1756.3294067382812,1550.1563415527344,2797.0972442626953,311.73827171325684,26.3765706717968,7547.898770302534
YE110122,2030,1155.2934494018555,2043.212158203125,1735.400146484375,3268.782440185547,394.55130195617676,30.74655932188034,8627.98605555296
YE110123,2015,3195.9935913085938,5337.642333984375,5093.0626220703125,7571.955871582031,898.8000106811523,78.41920232772827,22175.873631954193
YE110123,2020,3801.0619201660156,5971.7459716796875,5476.017333984375,9361.914733886719,1029.920425415039,92.71150612831116,25733.371891260147
YE110123,2025,4335.864471435547,6890.9974365234375,6098.67041015625,11056.421478271484,1232.0713195800781,104.56203198432922,29718.587147951126
YE110123,2030,4528.526458740234,8017.0882568359375,6827.8785400390625,12921.717224121094,1559.308982849121,121.88666343688965,33976.40612602234
YE110124,2015,3202.2767333984375,5347.993408203125,5100.077880859375,7566.739074707031,897.4998054504395,78.21368849277496,22192.800591111183
YE110124,2020,3803.1273803710938,5974.8082275390625,5475.9473876953125,9343.272369384766,1027.2086029052734,92.3634877204895,25716.727455615997
YE110124,2025,4336.5401611328125,6891.821533203125,6096.2125244140625,11029.815856933594,1228.4728927612305,104.1378583908081,29687.000826835632
YE110124,2030,4527.881927490234,8015.60400390625,6823.04296875,12886.713562011719,1554.4086380004883,121.36581015586853,33929.01691031456
YE141222,2015,335.1543617248535,626.1299743652344,520.5782165527344,695.4564361572266,70.80598306655884,5.7968264147639275,2253.9217982813716
YE141222,2020,361.8472595214844,636.0007629394531,509.32318115234375,781.8767223358154,73.8452160358429,6.220043703913689,2369.1131856888533
YE141222,2025,368.4126205444336,654.5118103027344,506.81587982177734,826.7786922454834,79.13388633728027,6.260891444981098,2441.91378069669
YE141222,2030,349.54843521118164,692.1033477783203,515.1874389648438,879.3115139007568,91.13373899459839,6.641723811626434,2533.9261986613274
YE240721,2015,16603.744506835938,26386.26416015625,17549.2666015625,48716.50244140625,7265.485260009766,545.8493328094482,117067.11230278015
YE240721,2020,19176.143798828125,28638.51904296875,18319.55810546875,59206.63671875,8103.291076660156,626.2881383895874,134070.43688106537
YE240721,2025,21530.43896484375,32733.15869140625,20078.076171875,70487.51684570312,9550.768249511719,694.818612575531,155074.77753591537
YE240721,2030,22138.216796875,37344.20166015625,22131.3271484375,82721.22119140625,11894.484741210938,793.3383092880249,177022.78984737396
YE110125,2015,4191.015808105469,7000.34326171875,6679.65087890625,9927.135848999023,1177.5792770385742,102.69139790534973,29078.416472673416
YE110125,2020,4980.383850097656,7825.42724609375,7175.89404296875,12264.096984863281,1348.443344116211,121.33060336112976,33715.57607150078
YE110125,2025,5677.2353515625,9023.715576171875,7986.2490234375,14474.254272460938,1612.1989059448242,136.76742362976074,38910.4205532074
YE110125,2030,5926.192565917969,10492.34619140625,8936.0439453125,16907.03009033203,2039.4387893676758,159.35945081710815,44460.411033153534
YE110126,2015,1236.9009094238281,2065.753448486328,1971.0973205566406,2930.468925476074,347.8500633239746,30.349444150924683,8582.42011141777
YE110126,2020,1471.0627746582031,2311.1470336914062,2119.2933349609375,3623.188575744629,398.5932731628418,35.8805930018425,9959.16558521986
YE110126,2025,1678.0386962890625,2666.909912109375,2360.2686767578125,4278.9858322143555,476.8284034729004,40.466953217983246,11501.49847406149
YE110126,2030,1752.5925750732422,3102.70703125,2642.4688720703125,5000.855773925781,603.4707908630371,47.171534180641174,13149.266577363014
YE110127,2015,716.9456100463867,1194.0218811035156,1129.1543273925781,1672.9824028015137,199.55095195770264,17.42977997660637,4930.084953278303
YE110127,2020,852.7663955688477,1335.9928283691406,1214.2525024414062,2068.785411834717,228.6966438293457,20.608012288808823,5721.101794332266
YE110127,2025,972.7272338867188,1541.6669311523438,1352.3492431640625,2443.648525238037,273.6061544418335,23.241820514202118,6607.239908397198
YE110127,2030,1016.0288772583008,1793.6918640136719,1514.1126098632812,2856.619743347168,346.3213634490967,27.096623808145523,7553.871081739664
YE110132,2015,152.8843288421631,255.33277130126953,243.63301467895508,362.2139711380005,42.99519753456116,3.7512720450758934,1060.8105555400252
YE110132,2020,181.82740020751953,285.6641159057617,261.95044708251953,447.83600997924805,49.26723790168762,4.434948600828648,1230.980159677565
YE110132,2025,207.4101619720459,329.63736724853516,291.73565673828125,528.8943748474121,58.93728971481323,5.001834899187088,1421.6166854202747
YE110132,2030,216.62523651123047,383.5030517578125,326.6163864135742,618.1194953918457,74.5906195640564,5.830522879958153,1625.2853125184774
YE200736,2015,205.75003051757812,327.73211669921875,232.6030616760254,324.4362897872925,45.85671329498291,5.030550502240658,1141.4087624773383
YE200736,2020,244.26521492004395,365.9671173095703,250.70201873779297,402.7768564224243,52.361815214157104,5.938009835779667,1322.0110324397683
